1,0400111,621538751.5,1669,109.806876324 36.0228180785,84,482
1,0400184,833498995.4,2284,109.220445573 36.2531116937,58,582
1,0400103,544871180,5138,109.480445345 36.1732054565,191,789
1,0400105,444536350.1,2955,109.687974795 36.1552168229,194,759
1,0400178,470943722.9,451,109.919238166 36.2740999973,31,222
1,0400139,605469409.9,2665,109.545017611 36.3935769949,103,710
1,0400156,804116020.5,1278,109.841643977 36.4829812308,44,305
1,0400133,474260045.9,2148,109.256586689 36.4312874473,83,615
1,0400152,624711070.8,1267,109.1468366 36.6286826083,116,273
1,0400158,357355178.9,1277,109.403492667 36.5644912411,46,360
1,0400154,1023886786,1526,109.627124267 36.6678242817,102,499
1,0400180,492771876,1079,109.169515318 36.9038334972,89,281
1,0400176,536622569.8,962,109.363581439 36.7953168355,111,247
1,0400151,118779216.5,566,109.37741716 36.9501663878,27,105
1,0400141,418816458.6,385,109.592542068 36.9178026863,24,84
1,0400113,812773442.5,1212,109.874800574 36.8482952291,65,442
1,0400170,96405013.04,1889,109.130384294 34.1346662174,507,195
1,0400116,298961221.3,1776,109.371257366 33.9740052113,697,176
1,0400125,203800400.6,168,109.47919237 33.9923749662,100,25
1,0400117,217077388.7,2040,109.191187395 34.0706265268,540,113
1,0400145,415344836.4,358,109.192578182 33.9546106985,162,58
1,0400102,548220414.5,457,109.284952829 33.813627201,219,62
1,0400159,1106655906,1927,109.272010743 34.2630992744,438,114
1,0400182,844149149.4,1942,109.632876653 34.2013660655,647,217
1,0400137,2025608224,555,109.703813572 33.8188795178,11,49
1,0400109,1874271990,2758,109.683634839 34.5928625507,722,300
1,0400161,439367468.5,2552,109.323723437 34.4361376981,748,250
1,0400112,2201249326,1365,109.288237111 34.6994311886,508,100
1,0400148,1593333623,2235,109.330661255 35.080327981,226,462
1,0400149,847654236.8,63,109.705299502 35.0090123103,4,3
1,0400135,346544460.3,877,109.114949959 35.2928755708,78,249
1,0400127,327916074,1463,109.274049445 35.2942973531,143,381
1,0400146,346810283.9,453,109.181814616 35.477783559,52,223
1,0400186,1004542335,1174,109.555196374 35.3362860672,50,296
1,0400131,944876926.4,999,109.610217878 35.4895791725,98,317
1,0400165,294489529.7,3022,109.144039238 35.6153496736,191,647
1,0400188,10139712.08,2542,109.062965681 35.6767707609,195,567
1,0400119,210855464.6,4829,109.119008879 35.7775486822,384,1035
1,0400129,719739426.5,1706,109.331995988 35.7486890285,64,456
1,0400110,307034549.3,896,109.704722159 35.6261633367,44,294
1,0400123,210643768,1283,109.575363007 35.6949378539,71,345
1,0400122,236202819.1,1120,109.602743739 35.8014818973,65,311
1,0400174,829424344,1733,109.874134938 35.8176658782,67,622
1,0400167,623755765.5,1272,109.156053634 35.9991287455,67,368
1,0400143,741958961.5,1202,109.460718658 35.9504628574,57,377
2,0400364,16748631.25,2272,109.856833494 32.2737494463,496,231
2,0400316,5850266.398,2983,109.565035155 31.3442868884,127,528
2,0400319,1054328.9,2054,109.552577346 31.3375483518,69,312
2,0400317,860803.4886,1502,109.532739025 31.3439183581,149,302
2,0400315,1223092.45,2101,109.527827128 31.3469385669,201,379
2,0400306,172502824.3,1103,110.019085087 31.4338620942,215,279
2,0400304,22508452.41,1839,110.267461577 31.9500101986,400,215
2,0400303,21718005.34,1897,110.313976486 31.9342780506,506,336
2,0400344,8605326.687,2858,110.246794992 31.4904861631,723,375
2,0400355,4919866.25,1048,110.273691558 31.4740403531,517,241
2,0400357,6280169.971,1455,110.277709662 31.4861194797,760,269
2,0400335,3237893.111,4047,110.268133033 31.5030102385,1231,658
2,0400352,8119721.05,2243,110.244886632 31.5244292502,586,351
2,0400350,619737.26,1254,110.251831655 31.5413397005,328,187
2,0400341,1447431.463,1725,110.249331093 31.550472355,336,230
2,0400348,2334700.041,1951,110.283836703 31.5476385929,302,194
2,0400336,1287827.733,1849,110.295188835 31.5399270676,364,300
2,0400339,1207243.551,1787,110.298586691 31.5502415691,195,176
2,0400346,1296130.419,1788,110.299819231 31.5582385727,228,166
2,0400338,1279328.439,2024,110.299752327 31.5654508472,462,297
2,0400337,1239151.118,2009,110.283486064 31.5582366152,488,327
2,0400356,1336823.394,2769,110.28220143 31.5651776832,624,392
2,0400342,10879654.99,3352,110.249393672 31.5648335951,776,426
2,0400334,26607864.73,3797,110.211065813 31.538705461,882,625
2,0400340,78375960.76,1196,110.172729839 31.5712776667,275,154
2,0400349,79798783.93,2210,110.160972032 31.4878755427,662,272
2,0400321,26136431.42,2610,110.186146365 31.4527880632,849,300
2,0400322,103189854.9,2497,110.219976519 31.4009137159,846,382
3,0400326,13414.44977,2146,110.460149356 31.3607367977,644,281
2,0400351,58619791.88,2025,110.289916804 31.4402772877,727,321
3,0400345,11385.04587,5622,110.460620682 31.5990257137,213,165
2,0400323,9812495.054,2116,110.336171897 31.6355943191,391,271
2,0400309,4634907.701,1152,109.93400775 31.387346955,217,222
2,0400325,41230990.81,1502,109.961254665 31.3566213167,109,247
2,0400308,15488397.04,961,109.891073491 31.4309255314,125,298
2,0400307,8754516.352,655,109.91247434 31.4446088079,45,346
2,0400305,182712235.8,779,109.92240721 31.5040096823,140,374
2,0400311,47112011.71,1025,109.84451928 31.4277608287,167,311
2,0400310,81430210.62,838,109.856609232 31.3640982783,147,222
3,0400360,31385.88608,3488,110.451884753 31.7104205712,954,431
2,0400302,263055178.3,2663,110.399006453 31.9006652357,766,343
2,0400301,125661613.5,1989,110.354080088 32.0307254462,526,281
2,0400332,475395924.9,2680,110.185766809 31.8752048462,974,326
2,0400358,1137239300,2066,109.996948007 31.6981468344,792,373
2,0400328,280746302.1,3017,109.673827347 31.3902693323,223,456
2,0400324,597449182.6,3673,109.674956227 31.5336599628,443,214
2,0400327,508337301.4,2070,109.849303399 31.8976712853,735,344
2,0400313,310397838.8,387,109.979089304 32.1039433534,130,48
2,0400362,446404175.7,1828,109.850576562 32.1563105567,358,136
2,0400329,1465886147,1704,110.246022194 32.1702326306,504,241
2,0400363,747482214.3,2517,110.034819964 32.3450197076,525,161
2,0400359,995006946.1,1165,109.549521024 31.7134035907,324,147
2,0400333,701148726.8,782,109.527790405 31.8919273916,231,122
2,0400312,1025164618,608,109.490552593 32.2873511347,107,88
2,0400361,1145591602,1849,109.602531073 32.1275367593,380,195
2,0400331,1063625746,423,109.184113825 32.2441621117,140,35
2,0400330,887458397.3,403,109.166269079 31.893382001,115,119
2,0400320,1720713166,3344,109.273546244 31.5135428666,299,434
2,0400318,1919405.357,2628,109.529556309 31.3520027487,167,352
2,0400314,3185976.274,2277,109.527837468 31.338478096,153,395
2,0400347,1273237.76,1670,110.265893535 31.5510614807,424,252
2,0400354,4935349.697,3281,110.268015106 31.5365330278,1046,524
2,0400353,2453874.414,3092,110.283590426 31.5303611414,899,386
2,0400343,2819822.856,2701,110.266806448 31.5182706697,1282,569
1,0400540,35766227.34,860,111.815342184 35.2332883578,224,154
1,0400555,349032.4676,79,110.753089136 35.0352831494,0,1
1,0400557,1404414152,206,111.11853716 35.0729569357,40,27
1,0400563,649191159.7,234,111.492069856 34.9305760565,90,47
4,0400566,121879.6439,23,112.63406524 36.441884818,1,7
1,0400568,680703552.9,38,111.530018719 36.0722587755,2,1
1,0400581,54424724.32,0,112.541627301 36.8647256871,0,0
1,0400584,57611735.43,590,111.754313288 35.186257097,131,120
1,0400587,50778924.59,17,111.449492457 36.9718577416,4,3
1,0400592,132631762,29,111.358411512 35.1938674276,1,2
1,0400583,49593525.61,1882,111.739798393 34.8363805952,531,642
4,0400599,471155.4832,1488,112.351640692 35.0842582945,371,242
1,0400572,505314.6021,1339,111.453984213 36.9188918484,313,174
1,0400595,4897777.232,2632,111.21982274 36.1344523056,146,634
1,0400573,12231420.98,1769,111.443021194 36.9225203775,470,245
1,0400574,22029031.17,2905,111.460055053 36.8902871314,436,320
1,0400571,974743973.3,110,111.003067585 36.9138947443,14,66
4,0400598,2808.1785,3267,112.440777211 35.2498240423,861,451
1,0400590,799802581.8,2550,110.986828453 36.391340953,120,742
1,0400561,412745692.1,1048,110.83593286 36.6089963588,102,303
4,0400564,329970.1307,952,112.996264753 35.4088948663,197,116
4,0400560,276981.6676,481,113.078555789 36.1444961427,16,38
1,0400582,103729366.1,1268,111.759860457 34.9504907403,316,435
