0400102,0400116
0400102,0400125
0400102,0400137
0400102,0400145
0400102,0400916
0400102,040111
0400102,040112
0400103,0400105
0400103,0400139
0400103,0400143
0400103,0400167
0400103,0400184
0400105,0400103
0400105,0400111
0400105,0400139
0400105,0400143
0400105,0400156
0400105,0400178
0400109,0400112
0400109,0400148
0400109,0400149
0400109,0400159
0400109,0400161
0400109,0400182
0400109,0401750
0400109,0401759
0400109,0401762
0400109,0401763
0400109,040179
0400110,0400123
0400110,0400131
0400110,0400174
0400110,0401706
0400111,0400105
0400111,0400122
0400111,0400143
0400111,0400174
0400111,0400178
0400111,0401722
0400111,0401760
0400111,0401761
0400112,0400109
0400112,0400148
0400112,0400161
0400113,0400141
0400113,0400154
0400113,0400156
0400113,0401701
0400113,0401718
0400116,0400102
0400116,0400117
0400116,0400125
0400116,0400145
0400116,0400159
0400116,0400182
0400117,0400116
0400117,0400145
0400117,0400159
0400117,0400170
0400119,0400129
0400119,0400165
0400119,0400167
0400122,0400111
0400122,0400123
0400122,0400129
0400122,0400143
0400122,0400174
0400123,0400110
0400123,0400122
0400123,0400129
0400123,0400131
0400123,0400174
0400125,0400102
0400125,0400116
0400125,0400137
0400125,0400182
0400127,0400135
0400127,0400146
0400127,0400148
0400127,0400186
0400129,0400119
0400129,0400122
0400129,0400123
0400129,0400131
0400129,0400143
0400129,0400165
0400129,0400167
0400131,0400110
0400131,0400123
0400131,0400129
0400131,0400146
0400131,0400165
0400131,0400186
0400131,0401706
0400133,0400139
0400133,0400152
0400133,0400158
0400133,0400184
0400135,0400127
0400135,0400146
0400135,0400148
0400137,0400102
0400137,0400125
0400137,0400182
0400137,0400916
0400137,0401742
0400137,0401753
0400137,0401756
0400137,0401779
0400139,0400103
0400139,0400105
0400139,0400133
0400139,0400154
0400139,0400156
0400139,0400158
0400139,0400184
0400141,0400113
0400141,0400151
0400141,0400154
0400141,0400176
0400143,0400103
0400143,0400105
0400143,0400111
0400143,0400122
0400143,0400129
0400143,0400167
0400145,0400102
0400145,0400116
0400145,0400117
0400146,0400127
0400146,0400131
0400146,0400135
0400146,0400165
0400146,0400186
0400148,0400109
0400148,0400112
0400148,0400127
0400148,0400135
0400148,0400149
0400148,0400186
0400149,0400109
0400149,0400148
0400149,0400186
0400149,0401706
0400149,0401758
0400149,040179
0400151,0400141
0400151,0400176
0400151,0400180
0400152,0400133
0400152,0400158
0400152,0400176
0400152,0400180
0400152,0400184
0400154,0400113
0400154,0400139
0400154,0400141
0400154,0400156
0400154,0400158
0400154,0400176
0400156,0400105
0400156,0400113
0400156,0400139
0400156,0400154
0400156,0400178
0400156,0401701
0400156,0401757
0400158,0400133
0400158,0400139
0400158,0400152
0400158,0400154
0400158,0400176
0400159,0400109
0400159,0400116
0400159,0400117
0400159,0400161
0400159,0400170
0400159,0400182
0400161,0400109
0400161,0400112
0400161,0400159
0400165,0400119
0400165,0400129
0400165,0400131
0400165,0400146
0400165,0400188
0400167,0400103
0400167,0400119
0400167,0400129
0400167,0400143
0400167,0400184
0400170,0400117
0400170,0400159
0400174,0400110
0400174,0400111
0400174,0400122
0400174,0400123
0400174,0401706
0400174,0401715
0400174,0401722
0400174,0401777
0400176,0400141
0400176,0400151
0400176,0400152
0400176,0400154
0400176,0400158
0400176,0400180
0400178,0400105
0400178,0400111
0400178,0400156
0400178,0401701
0400178,0401757
0400178,0401761
0400180,0400151
0400180,0400152
0400180,0400176
0400182,0400109
0400182,0400116
0400182,0400125
0400182,0400137
0400182,0400159
0400182,0401752
0400182,0401753
0400182,0401762
0400182,0401763
0400184,0400103
0400184,0400133
0400184,0400139
0400184,0400152
0400184,0400167
0400186,0400127
0400186,0400131
0400186,0400146
0400186,0400148
0400186,0400149
0400186,0401706
0400186,0401758
0400188,0400165
0400301,0400302
